"objectid_1,""namobj"",""jnspls"",""thnopr"",""regpln"",""srs_id"",""longitude"",""latitude"""
"1,""PLTGU TANJUNG UNCANG - GTG1 -  PT. PELAYANAN LISTRIK NASIONAL BATAM"",""PLTGU"",""2022"",""Sumatera"",""4326"",""103.90213200000005"",""1.0899730000000432"""
"2,""PLTM - Saluanoa"",""PLTM"",""2022"",""Sulawesi"",""4326"",""120.79576000000009"",""-2.3450999999999453"""
"3,""PLTM - Saluanoa"",""PLTM"",""2022"",""Sulawesi"",""4326"",""120.79576000000009"",""-2.3450999999999453"""
"4,""PLTA Skala Kecil & Menengah - PT. KARO BUMI ENERGI UNIT-1"",""PLTA"",""2022"",""Sumatera"",""4326"",""98.42720800000006"",""3.092561000000046"""
"5,""PLTA Skala Kecil & Menengah - PT. KARO BUMI ENERGI UNIT-2"",""PLTA"",""2022"",""Sumatera"",""4326"",""98.42720800000006"",""3.092561000000046"""
"6,""PLTM Padang Guci 1"",""PLTM"",""2022"",""Sumatera"",""4326"",""103.27080722900007"",""-4.450931454999932"""
"7,""PLTM Padang Guci 1"",""PLTM"",""2022"",""Sumatera"",""4326"",""103.27080722900007"",""-4.450931454999932"""
"8,""PLTM Padang Guci 1"",""PLTM"",""2022"",""Sumatera"",""4326"",""103.27080722900007"",""-4.450931454999932"""
"9,""PLTD Padang Tikar (MTU)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.27293740000005"",""-0.6800530999999523"""
"10,""PLTD Padang Tikar (MTU)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.27293740000005"",""-0.6800530999999523"""
"11,""PLTD Padang Tikar (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.27293740000005"",""-0.6800530999999523"""
"12,""PLTD Padang Tikar (Mitsubishi)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.27150220000004"",""-0.6820652999999766"""
"13,""PLTD Padang Tikar (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.27150220000004"",""-0.6820652999999766"""
"14,""PLTD Padang Tikar (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""109.27018710000004"",""-0.6820652999999766"""
"15,""PLTD Mantangisi (Caterpillar)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""121.70482900000002"",""-0.9393899999999462"""
