objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
1,Danau/Situ,34A,ID-AC.2,Danau Aneuk Laot,"Kec. Sukakarya, Kab. Sabang",Aceh,45.44,Kecil,Vulkanik,2.27200007
2,Danau/Situ,35A,ID-AC.12,Waduk Keuliling,"Kec. Kotacoglie, Kab. Aceh Besar",Aceh,258.55,Kecil,Buatan,12.92749977
3,Danau/Situ,36A,ID-AC.9,Danau Geuanggeudang,"Kec. Kaway Enambelas, Kab. Aceh Barat",Aceh,33.05,Kecil,Paparan banjir,1.65250003
4,Danau/Situ,38A,ID-AC.18,Danau Laut Penang Suasa,Kab. Aceh Jaya,Aceh,46.11,Kecil,-,2.30550003
5,Danau/Situ,54A,ID-AC.13,Waduk Krueng Nalan,"Kec. Jeunieb dan Peulimbang, Kab. Bireun",Aceh,20.69,Kecil,Buatan,1.0345
6,Danau/Situ,60A,ID-AC.27,Danau Paya Laot,"Kec. Bireun, Kab. Aceh Jaya",Aceh,73.96,Kecil,-,3.69799995
7,Danau/Situ,62A,ID-AC.40,Noname,"Kec. Beutong, Kab. Nagan Raya",Aceh,24.61,Kecil,-,1.23049998
8,Danau/Situ,82A,ID-AC.19,Danau Laut Tawar,Kab. Aceh Tengah,Aceh,5909.76,Sedang,Tekto-Vulkanik,295.48800659
9,Danau/Situ,84A,ID-AC.6,Waduk Dam V,"Kec. Cotgirek, Kab. Aceh Utara",Aceh,47.01,Kecil,Buatan,2.35050011
10,Danau/Situ,122A,ID-AC.20,Danau Lautbangko,"Kec. Bakongan, Kab. Aceh Selatan",Aceh,127.12,Kecil,-,6.35599995
11,Danau/Situ,133A,ID-AC.31,Danau Sungara,"Kec. Kota Baharu, Kab. Aceh Singkil",Aceh,77.83,Kecil,-,3.8915
12,Danau/Situ,134A,ID-AC.1,Danau Anaklaut Indah,"Kec. Singkil dan Singkil Utara, Kab. Aceh Singkil",Aceh,909.9,Kecil,Laguna,45.49499893
13,Danau/Situ,135A,ID-AC.3,Danau Bungara,"Kec. Kota Baharu, Kab. Aceh Singkil",Aceh,24.03,Kecil,-,1.20150006
14,Danau/Situ,165A,ID-LA.7,Danau Jepara,"Kec. Way Jepara, Kab. Lampung Timur",Lampung,206.24,Kecil,-,10.31200027
15,Danau/Situ,167A,ID-LA.13,Tasik Batutegi,"Kec. Aimaningan dan Ulubelu, Kab. Tanggamus",Lampung,1335.26,Sedang,Buatan,66.76300049
16,Danau/Situ,182A,ID-LA.1,Danau Asam,"Kec. Suoh dan Bandar Negeri Suoh, Kab. Lampung Barat",Lampung,120.73,Kecil,-,6.03649998
17,Danau/Situ,200A,ID-LA.4,Danau Beringin Indah,"Kec. Sukadana, Kab. Lampung Timur",Lampung,36.39,Kecil,-,1.81949997
