facility_id,nama,jenis_raw,jenis_std,energy_group,tahun_operasi,regpln,provinsi,longitude,latitude
662,PLTD Batakan Unit,PLTD,PLTD,non_renewable,1988,Kalimantan,Kalimantan Timur,116.95100000000002,-1.2379999999999427
915,PLTD Batu Ampar,PLTD,PLTD,non_renewable,1998,Kalimantan,Kalimantan Timur,116.8309200000001,0.6792800000000625
982,PLTD Batu Putih,PLTD,PLTD,non_renewable,1995,Kalimantan,Kalimantan Timur,118.44581000000004,1.3521700000000578
632,PLTD Batu Sopang,PLTD,PLTD,non_renewable,2006,Kalimantan,Kalimantan Timur,115.91200000000003,-1.8199999999999363
957,PLTD Biduk-Biduk,PLTD,PLTD,non_renewable,1983,Kalimantan,Kalimantan Timur,118.74619000000008,1.2165000000000532
642,PLTD Bontang,PLTD,PLTD,non_renewable,2003,Kalimantan,Kalimantan Timur,117.45900000000006,0.1450000000000386
252,PLTD Bontang (MAK),PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,117.45407471600004,0.1374279480000382
253,PLTD Bontang (MAK),PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,117.45405996300008,0.1374299590000305
664,PLTD CDE Karang Joang (MFO),PLTD,PLTD,non_renewable,2010,Kalimantan,Kalimantan Timur,116.87800000000004,-1.148999999999944
663,PLTD Cogindo (MFO),PLTD,PLTD,non_renewable,2009,Kalimantan,Kalimantan Timur,116.95112373200004,-1.2379999999999427
928,PLTD Datah Bilang,PLTD,PLTD,non_renewable,1992,Kalimantan,Kalimantan Timur,115.46381000000008,0.226030000000037
931,PLTD Dilang Putih,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,115.76639000000011,-0.716829999999959
919,PLTD Gemar Baru,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,116.37603,0.800860000000057
920,PLTD Gemar Baru Pemkab,PLTD,PLTD,non_renewable,1996,Kalimantan,Kalimantan Timur,116.3761632500001,0.800860000000057
661,PLTD Gunung Malang,PLTD,PLTD,non_renewable,1978,Kalimantan,Kalimantan Timur,116.84122842800002,-1.2626573579999558
978,PLTD Gunung Sari,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,117.11644,2.1853100000000723
940,PLTD Jantur,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,116.28961000000004,-0.4197799999999461
669,PLTD Jenebora/Gresik,PLTD,PLTD,non_renewable,2000,Kalimantan,Kalimantan Timur,116.735,-1.1859999999999786
641,PLTD Karang Asam,PLTD,PLTD,non_renewable,1978,Kalimantan,Kalimantan Timur,117.11413325,-0.5024384469999745
911,PLTD Karangan,PLTD,PLTD,non_renewable,1992,Kalimantan,Kalimantan Timur,117.67272000000004,1.3496900000000664
339,PLTD Keledang Unit 7,PLTD,PLTD,non_renewable,2022,Kalimantan,Kalimantan Timur,117.12127348100012,-0.5244268889999262
933,PLTD Kelumpang,PLTD,PLTD,non_renewable,1994,Kalimantan,Kalimantan Timur,115.82270000000004,-0.1730399999999576
667,PLTD Kerang,PLTD,PLTD,non_renewable,1982,Kalimantan,Kalimantan Timur,116.08200000000012,-2.238999999999976
