objectid,dataset_id,kode2,nama,nama_asli,jenis,lokasi,kecamatan,region,provinsi,luas_ha,klasifikas,tipe,pot_mw,latitude,longitude,coord_note
291,ID-KI.60,8894A,Potensi Air Kuaro (ID-KI.60),Noname 4,Hidro,"Kec. Kuaro, Kab. Paser",Kuaro,Paser,Kalimantan Timur,20.6,Kecil,-,1.02999997,-1.814997,116.084478,Approximate kecamatan center
292,ID-KI.47,8969A,Waduk Manggar,Waduk Manggar,Hidro,"Kec. Balikpapan Utara, Kota Balikpapan",Balikpapan Utara,Balikpapan,Kalimantan Timur,259.32,Kecil,Buatan,12.9659996,-1.15361,116.88417,Approximate kecamatan center
293,ID-KI.51,9004A,Waduk Samboja,Waduk Samboja,Hidro,"Kec. Samboja, Kab. Kutai Kartanegara",Samboja,Kutai Kartanegara,Kalimantan Timur,167.18,Kecil,Buatan,8.35900021,-1.016667,117.033333,Approximate kecamatan center
294,ID-KI.390,9227A,Potensi Air Loa Janan (ID-KI.390),Noname 334,Hidro,"Kec. Loa Janan, Kab. Kutai Kartanegara",Loa Janan,Kutai Kartanegara,Kalimantan Timur,23.0,Kecil,-,1.14999998,-0.533,117.05,Approximate kecamatan center
295,ID-KI.300,9229A,Potensi Air Sanga-Sanga (ID-KI.300),Noname 244,Hidro,"Kec. Sanga-Sanga, Kab. Kutai Kartanegara",Sanga-Sanga,Kutai Kartanegara,Kalimantan Timur,39.53,Kecil,-,1.97650003,-0.664129,117.230065,Approximate kecamatan center with small offset to reduce marker overlap
296,ID-KI.403,9258A,Potensi Air Sanga-Sanga (ID-KI.403),Noname 347,Hidro,"Kec. Sanga-Sanga, Kab. Kutai Kartanegara",Sanga-Sanga,Kutai Kartanegara,Kalimantan Timur,39.36,Kecil,-,1.96800005,-0.654129,117.238065,Approximate kecamatan center with small offset to reduce marker overlap
297,ID-KI.460,9732A,Potensi Air Sungai Kunjang (ID-KI.460),Noname 404,Hidro,"Kec. Sungai Kunjang, Kota Samarinda",Sungai Kunjang,Samarinda,Kalimantan Timur,49.89,Kecil,-,2.49449992,-0.514545,117.092584,Approximate kecamatan center
298,ID-KI.513,9738A,Potensi Air Tenggarong (ID-KI.513),Noname 457,Hidro,"Kec. Tenggarong, Kab. Kutai Kartanegara",Tenggarong,Kutai Kartanegara,Kalimantan Timur,49.24,Kecil,-,2.46199989,0.4,116.967,Approximate kecamatan center with small offset to reduce marker overlap
299,ID-KI.517,9740A,Potensi Air Loa Kulu (ID-KI.517),Noname 461,Hidro,"Kec. Loa Kulu, Kab. Kutai Kartanegara",Loa Kulu,Kutai Kartanegara,Kalimantan Timur,97.1,Kecil,-,4.85500002,-0.513937,117.020552,Approximate kecamatan center
300,ID-KI.181,9781A,Potensi Air Tenggarong (ID-KI.181),Noname 125,Hidro,"Kec. Tenggarong, Kab. Kutai Kartanegara",Tenggarong,Kutai Kartanegara,Kalimantan Timur,26.75,Kecil,-,1.33749998,0.41,116.975,Approximate kecamatan center with small offset to reduce marker overlap
301,ID-KI.41,9850A,Danau Perian,Danau Perian,Hidro,"Kec. Muara Muntai, Kab. Kutai Kartanegara",Muara Muntai,Kutai Kartanegara,Kalimantan Timur,790.4,Kecil,-,39.52000046,-0.360211,116.393189,Approximate kecamatan center with small offset to reduce marker overlap
302,ID-KI.40,9994A,Danau Batubumbun,Danau Batubumbun,Hidro,"Kec. Muara Muntai, Kab. Kutai Kartanegara",Muara Muntai,Kutai Kartanegara,Kalimantan Timur,58.41,Kecil,-,2.92050004,-0.350211,116.401189,Approximate kecamatan center with small offset to reduce marker overlap
303,ID-KI.160,10011A,Potensi Air Tenggarong Seberang (ID-KI.160),Noname 104,Hidro,"Kec. Tenggarong Seberang, Kab. Kutai Kartanegara",Tenggarong Seberang,Kutai Kartanegara,Kalimantan Timur,33.41,Kecil,-,1.67050004,-0.379919,117.112603,Approximate kecamatan center with small offset to reduce marker overlap
304,ID-KI.48,10020A,Danau Jempang,Danau Jempang,Hidro,"Kec. Jempang, Kab. Kutai Barat",Jempang,Kutai Barat,Kalimantan Timur,15959.6,Besar,Paparan Banjir,797.97998047,-0.525478,116.137406,Approximate kecamatan center
305,ID-KI.45,10065A,Danau Wis,Danau Wis,Hidro,"Kec. Muara Wis, Kab. Kutai Kartanegara",Muara Wis,Kutai Kartanegara,Kalimantan Timur,1099.64,Sedang,-,54.98199844,-0.315699,116.484347,Approximate kecamatan center with small offset to reduce marker overlap
306,ID-KI.433,10130A,Potensi Air Tenggarong Seberang (ID-KI.433),Noname 377,Hidro,"Kec. Tenggarong Seberang, Kab. Kutai Kartanegara",Tenggarong Seberang,Kutai Kartanegara,Kalimantan Timur,59.52,Kecil,-,2.97600007,-0.369919,117.120603,Approximate kecamatan center with small offset to reduce marker overlap
